Round   A wins    B wins    Tie
    1   43.7500%  18.7500%  37.5000%
    2   56.6406%  22.2656%  21.0938%
    3   62.3535%  22.7051%  14.9414%
    4   65.9134%  22.0657%  12.0209%
    5   68.6609%  21.0665%  10.2726%
    6   70.9815%  19.9854%   9.0332%
    7   73.0088%  18.9226%   8.0686%
    8   74.8079%  17.9104%   7.2816%
    9   76.4212%  16.9569%   6.6219%
   10   77.8796%  16.0617%   6.0587%
   11   79.2070%  15.2222%   5.5709%
   12   80.4219%  14.4346%   5.1434%
   13   81.5393%  13.6954%   4.7653%
   14   82.5709%  13.0010%   4.4280%
   15   83.5266%  12.3482%   4.1251%
   16   84.4146%  11.7339%   3.8515%
   17   85.2417%  11.1553%   3.6030%
   18   86.0137%  10.6098%   3.3764%
   19   86.7359%  10.0952%   3.1690%
   20   87.4124%   9.6092%   2.9784%
